task_id	title	date	category	lecture_id	timeline_slots	sort_key	mark	trace_dates	created_date	updated_date
lec_1969_2026-05-11	적분집중연습1-DAY16	2026-05-11	misc	1969	[]	6	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096680687_192295_2026-05-12	학교	2026-05-12	fixed		["10_0","10_1","10_2","10_3","10_4","10_5","11_0","11_1","11_2","11_3","11_4","11_5","12_0","12_1","12_2","12_3","12_4","12_5","13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5"]	0	none	[]	2026-06-22	2026-06-22
lec_101_2026-05-12	솔루틴 5월호 No.07	2026-05-12	misc	101	[]	1	none	[]	2026-06-22	2026-06-22
lec_1970_2026-05-12	적분집중연습1-DAY17	2026-05-12	misc	1970	[]	2	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096698056_37837_2026-05-13	학교	2026-05-13	fixed		["13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5","17_0","17_1","17_2","17_3","17_4","17_5"]	0	none	[]	2026-06-22	2026-06-22
lec_102_2026-05-13	솔루틴 5월호 No.08	2026-05-13	misc	102	[]	1	none	[]	2026-06-22	2026-06-22
lec_1971_2026-05-13	적분집중연습1-DAY18	2026-05-13	misc	1971	[]	2	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096663463_80462_2026-05-14	학교	2026-05-14	fixed		["13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5","17_0","17_1","17_2","17_3","17_4","17_5"]	0	none	[]	2026-06-22	2026-06-22
lec_566_2026-05-14	[17강] [5-3] Chapter 17 : 비교①	2026-05-14	grammar	566	[]	1	none	[]	2026-06-22	2026-06-22
lec_567_2026-05-14	[18강] [5-4] Chapter 18 : 비교②	2026-05-14	grammar	567	[]	2	none	[]	2026-06-22	2026-06-22
lec_522_2026-05-14	[15강] [4-2] CHAPTER 15: 상술관계 ③ : 부연 ①	2026-05-14	read	522	[]	3	none	[]	2026-06-22	2026-06-22
lec_523_2026-05-14	[16강] [4-3] CHAPTER 16: 상술관계 ③ : 부연 ②	2026-05-14	read	523	[]	4	none	[]	2026-06-22	2026-06-22
lec_103_2026-05-14	솔루틴 5월호 No.09	2026-05-14	misc	103	[]	5	none	[]	2026-06-22	2026-06-22
lec_1972_2026-05-14	적분집중연습1-DAY19	2026-05-14	misc	1972	[]	6	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096709911_982491_2026-05-15	학교	2026-05-15	fixed		["10_3","10_4","10_5","11_0","11_1","11_2","11_3","11_4","11_5","12_0","12_1","12_2","12_3","12_4","12_5"]	0	none	[]	2026-06-22	2026-06-22
lec_473_2026-05-15	[19강] [6-1] CHAPTER 19. 도치와 강조	2026-05-15	grammar	473	[]	1	none	["2026-05-01","2026-05-08"]	2026-06-20	2026-06-22
lec_474_2026-05-15	[20강] [6-2] CHAPTER 20. 명사	2026-05-15	grammar	474	[]	2	none	["2026-05-02","2026-05-08"]	2026-06-20	2026-06-22
lec_104_2026-05-15	솔루틴 5월호 No.10	2026-05-15	misc	104	[]	3	none	[]	2026-06-22	2026-06-22
lec_1973_2026-05-15	적분집중연습1-DAY20	2026-05-15	misc	1973	[]	4	none	[]	2026-06-22	2026-06-22
lec_568_2026-05-16	[19강] [6-1] Chapter 19 : 도치와 강조	2026-05-16	grammar	568	[]	0	none	[]	2026-06-22	2026-06-22
lec_569_2026-05-16	[20강] [6-2] Chapter 20 : 명사	2026-05-16	grammar	569	[]	1	none	[]	2026-06-22	2026-06-22
lec_524_2026-05-16	[17강] [4-4] CHAPTER 17: 함축관계 ①	2026-05-16	read	524	[]	2	none	[]	2026-06-22	2026-06-22
lec_525_2026-05-16	[18강] [4-5] CHAPTER 18: 함축관계 ②	2026-05-16	read	525	[]	3	none	[]	2026-06-22	2026-06-22
lec_1879_2026-05-16	[4강] [2-1] 제3강 weekly 6회 (1/2)	2026-05-16	math	1879	[]	4	none	[]	2026-06-22	2026-06-22
lec_1880_2026-05-16	[5강] [2-2] 제4강 weekly 6회 (2/2)	2026-05-16	math	1880	[]	5	none	[]	2026-06-22	2026-06-22
evt_1782097602287_652bww	김영 상위권 모의고사	2026-05-16	event		[]	6	none	[]	2026-06-22	2026-06-22
lec_1914_2026-05-17	[30강] [15-1] 제29강 VI. 추가내용 Page214~	2026-05-17	math	1914	[]	0	none	[]	2026-06-22	2026-06-22
lec_1915_2026-05-17	[31강] [15-2] 제30강 VI. 추가내용 Page222~	2026-05-17	math	1915	[]	1	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096653190_91805_2026-05-18	학교	2026-05-18	fixed		["13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5","17_0","17_1","17_2","17_3","17_4","17_5"]	0	none	[]	2026-06-22	2026-06-22
lec_475_2026-05-18	[21강] [6-3] CHAPTER 21. 관사	2026-05-18	grammar	475	[]	1	none	[]	2026-06-22	2026-06-22
lec_476_2026-05-18	[22강] [6-4] CHAPTER 22. 대명사	2026-05-18	grammar	476	[]	2	none	[]	2026-06-22	2026-06-22
lec_526_2026-05-18	[19강] [5-1] CHAPTER 19: 종합문제 ①	2026-05-18	read	526	[]	3	none	[]	2026-06-22	2026-06-22
lec_527_2026-05-18	[20강] [5-2] CHAPTER 20: 종합문제 ②	2026-05-18	read	527	[]	4	none	[]	2026-06-22	2026-06-22
lec_105_2026-05-18	솔루틴 5월호 No.11	2026-05-18	misc	105	[]	5	none	[]	2026-06-22	2026-06-22
lec_1974_2026-05-18	적분집중연습1-DAY21	2026-05-18	misc	1974	[]	6	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096680687_192295_2026-05-19	학교	2026-05-19	fixed		["10_0","10_1","10_2","10_3","10_4","10_5","11_0","11_1","11_2","11_3","11_4","11_5","12_0","12_1","12_2","12_3","12_4","12_5","13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5"]	0	none	[]	2026-06-22	2026-06-22
lec_106_2026-05-19	솔루틴 5월호 No.12	2026-05-19	misc	106	[]	1	none	[]	2026-06-22	2026-06-22
lec_1975_2026-05-19	적분집중연습1-DAY22	2026-05-19	misc	1975	[]	2	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096698056_37837_2026-05-20	학교	2026-05-20	fixed		["13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5","17_0","17_1","17_2","17_3","17_4","17_5"]	0	none	[]	2026-06-22	2026-06-22
lec_107_2026-05-20	솔루틴 5월호 No.13	2026-05-20	misc	107	[]	1	none	[]	2026-06-22	2026-06-22
lec_1976_2026-05-20	적분집중연습1-DAY23	2026-05-20	misc	1976	[]	2	none	[]	2026-06-22	2026-06-22
evt_1782097828670_a4nk3m	김영 상위권 모의고사 성적확인	2026-05-20	event		[]	3	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096663463_80462_2026-05-21	학교	2026-05-21	fixed		["13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5","17_0","17_1","17_2","17_3","17_4","17_5"]	0	none	[]	2026-06-22	2026-06-22
lec_570_2026-05-21	[21강] [6-3] Chapter 21 : 관사	2026-05-21	grammar	570	[]	1	none	[]	2026-06-22	2026-06-22
lec_571_2026-05-21	[22강] [6-4] Chapter 22 : 대명사	2026-05-21	grammar	571	[]	2	none	[]	2026-06-22	2026-06-22
man_2026-05-21_5ca9dfd3-3fe6-480c-85cf-61524823385d	단문독해 전체 복습	2026-05-21	read		[]	3	none	[]	2026-06-22	2026-06-22
lec_108_2026-05-21	솔루틴 5월호 No.14	2026-05-21	misc	108	[]	4	none	[]	2026-06-22	2026-06-22
lec_1977_2026-05-21	적분집중연습1-DAY24	2026-05-21	misc	1977	[]	5	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096709911_982491_2026-05-22	학교	2026-05-22	fixed		["10_3","10_4","10_5","11_0","11_1","11_2","11_3","11_4","11_5","12_0","12_1","12_2","12_3","12_4","12_5"]	0	none	[]	2026-06-22	2026-06-22
lec_477_2026-05-22	[23강] [7-1] CHAPTER 23. 형용사/ 부사	2026-05-22	grammar	477	[]	1	none	[]	2026-06-22	2026-06-22
lec_478_2026-05-22	[24강] [7-2] CHAPTER 24. 전치사	2026-05-22	grammar	478	[]	2	none	[]	2026-06-22	2026-06-22
lec_109_2026-05-22	솔루틴 5월호 No.15	2026-05-22	misc	109	[]	3	none	[]	2026-06-22	2026-06-22
lec_1978_2026-05-22	적분집중연습1-DAY25	2026-05-22	misc	1978	[]	4	none	[]	2026-06-22	2026-06-22
lec_572_2026-05-23	[23강] [7-1] Chapter 23 : 형용사 / 부사	2026-05-23	grammar	572	[]	0	none	[]	2026-06-22	2026-06-22
lec_573_2026-05-23	[24강] [8-1] Chapter 24 : 전치사	2026-05-23	grammar	573	[]	1	none	[]	2026-06-22	2026-06-22
man_2026-05-23_7bffff43-16c3-48f2-b79a-de0e178dbb30	단문독해 전체 복습	2026-05-23	read		[]	2	none	[]	2026-06-22	2026-06-22
lec_1881_2026-05-23	[6강] [3-1] 제5강 weekly 7회 (1/2)	2026-05-23	math	1881	[]	3	none	[]	2026-06-22	2026-06-22
lec_1882_2026-05-23	[7강] [3-2] 제6강 weekly 7회 (2/2)	2026-05-23	math	1882	[]	4	none	[]	2026-06-22	2026-06-22
evt_1782097905518_m3y5tf	김영 5월 모의고사	2026-05-23	event		[]	5	none	[]	2026-06-22	2026-06-22
lec_1916_2026-05-24	[32강] [16-1] 제31강 VI. 추가내용 Page224~	2026-05-24	math	1916	[]	0	none	[]	2026-06-22	2026-06-22
lec_1917_2026-05-24	[33강] [16-2] 제32강 VI. 추가내용 Page232~	2026-05-24	math	1917	[]	1	none	[]	2026-06-22	2026-06-22
__sp_fix_fxr_1782096653190_91805_2026-05-25	학교	2026-05-25	fixed		["13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5","17_0","17_1","17_2","17_3","17_4","17_5"]	0	none	[]	2026-06-22	2026-06-22
man_2026-05-25_07a3608f-5c35-4929-88a1-498a1c41f008	학습 현황 보고 + 테스트	2026-05-25	grammar		[]	1	none	[]	2026-06-22	2026-06-22
lec_529_2026-05-25	[1강] [1-1][독해] CHAPTER 01 : 로직트리 개요 ①	2026-05-25	read	529	[]	2	none	[]	2026-06-22	2026-06-22
lec_530_2026-05-25	[2강] [1-2][독해] CHAPTER 02 : 로직트리 개요 ②	2026-05-25	read	530	[]	3	none	[]	2026-06-22	2026-06-22
lec_528_2026-05-25	OT	2026-05-25	read	528	[]	4	none	[]	2026-06-22	2026-06-22
lec_110_2026-05-25	솔루틴 5월호 No.16	2026-05-25	misc	110	[]	5	none	[]	2026-06-22	2026-06-22
lec_1979_2026-05-25	적분집중연습1-DAY26	2026-05-25	misc	1979	[]	6	none	[]	2026-06-22	2026-06-22
evt_1782097975440_1qxbq3	문법 전체 테스트	2026-05-25	event		[]	7	none	[]	2026-06-22	2026-06-22
__sp_fix_fxd_1782096749512_411268_2026-05-26	학교	2026-05-26	fixed		["10_0","10_1","10_2","10_3","10_4","10_5","11_0","11_1","11_2","11_3","11_4","11_5","12_0","12_1","12_2","12_3","12_4","12_5","13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5"]	0	none	[]	2026-06-22	2026-06-22
lec_111_2026-05-26	솔루틴 5월호 No.17	2026-05-26	misc	111	[]	1	none	[]	2026-06-22	2026-06-22
lec_1980_2026-05-26	적분집중연습1-DAY27	2026-05-26	misc	1980	[]	2	none	[]	2026-06-22	2026-06-22
__sp_fix_fxd_1782096766248_885845_2026-05-27	학교	2026-05-27	fixed		["13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5"]	0	none	[]	2026-06-22	2026-06-22
lec_112_2026-05-27	솔루틴 5월호 No.18	2026-05-27	misc	112	[]	1	none	[]	2026-06-22	2026-06-22
lec_1981_2026-05-27	적분집중연습1-DAY28	2026-05-27	misc	1981	[]	2	none	[]	2026-06-22	2026-06-22
__sp_fix_fxd_1782096776897_37172_2026-05-28	학교	2026-05-28	fixed		["13_0","13_1","13_2","13_3","13_4","13_5","14_0","14_1","14_2","14_3","14_4","14_5","15_0","15_1","15_2","15_3","15_4","15_5","16_0","16_1","16_2","16_3","16_4","16_5"]	0	none	[]	2026-06-22	2026-06-22
lec_531_2026-05-28	[3강] [2-1][독해] CHAPTER 03 : 역접관계 ① 역접 ①	2026-05-28	read	531	[]	1	none	[]	2026-06-22	2026-06-22
lec_532_2026-05-28	[4강] [2-2][독해] CHAPTER 04 : 역접관계 ① 역접 ②	2026-05-28	read	532	[]	2	none	[]	2026-06-22	2026-06-22
lec_533_2026-05-28	[5강] [2-3][독해] CHAPTER 05 : 역접관계 ② 양보 ①	2026-05-28	read	533	[]	3	none	[]	2026-06-22	2026-06-22
lec_534_2026-05-28	[6강] [3-1][독해] CHAPTER 06 : 역접관계 ② 양보 ②	2026-05-28	read	534	[]	4	none	[]	2026-06-22	2026-06-22
lec_113_2026-05-28	솔루틴 5월호 No.19	2026-05-28	misc	113	[]	5	none	[]	2026-06-22	2026-06-22
lec_1982_2026-05-28	적분집중연습1-DAY29	2026-05-28	misc	1982	[]	6	none	[]	2026-06-22	2026-06-22
evt_1782098014584_c0ywpp	김영 5월 모의고사 성적 확인	2026-05-28	event		[]	7	none	[]	2026-06-22	2026-06-22
__sp_fix_fxd_1782096794745_748181_2026-05-29	학교	2026-05-29	fixed		["10_3","10_4","10_5","11_0","11_1","11_2","11_3","11_4","11_5","12_0","12_1","12_2","12_3","12_4","12_5"]	0	none	[]	2026-06-22	2026-06-22
lec_114_2026-05-29	솔루틴 5월호 No.20	2026-05-29	misc	114	[]	1	none	[]	2026-06-22	2026-06-22
lec_1983_2026-05-29	적분집중연습1-DAY30	2026-05-29	misc	1983	[]	2	none	[]	2026-06-22	2026-06-22
evt_1782098135883_14b0y8	솔루션 5월 월말고사	2026-05-29	event		[]	3	none	[]	2026-06-22	2026-06-22
lec_535_2026-05-30	[7강] [3-2][독해] CHAPTER 07 : 역접관계 ③ 통념반박 ①	2026-05-30	read	535	[]	0	none	[]	2026-06-22	2026-06-22
lec_536_2026-05-30	[8강] [3-3][독해] CHAPTER 08 : 역접관계 ③ 통념반박 ②	2026-05-30	read	536	[]	1	none	[]	2026-06-22	2026-06-22
lec_537_2026-05-30	[9강] [3-4][독해] CHAPTER 09 : 나열관계 ①	2026-05-30	read	537	[]	2	none	[]	2026-06-22	2026-06-22
lec_538_2026-05-30	[10강] [4-1][독해] CHAPTER 10 : 나열관계 ②	2026-05-30	read	538	[]	3	none	[]	2026-06-22	2026-06-22
lec_1883_2026-05-30	[8강] [4-1] 제7강 weekly 8회 (1/2)	2026-05-30	math	1883	[]	4	none	[]	2026-06-22	2026-06-22
lec_1884_2026-05-30	[9강] [4-2] 제8강 weekly 8회 (2/2)	2026-05-30	math	1884	[]	5	none	[]	2026-06-22	2026-06-22
